Sea la siguiente matriz A(20,10)                                                
                                                                                   
   fila  1 : 2.84186 1.68459 1.95143 1.74049 2.42940 2.45761 2.48730 2.10976 1.68934 2.19644
   fila  2 : 2.04216 2.58189 1.90461 2.28198 2.81615 1.58008 1.94781 2.38985 2.23510 2.38472
   fila  3 : 2.97824 1.75027 1.71786 1.58885 2.23820 1.86210 1.79793 1.83284 1.98943 2.86780
   fila  4 : 2.55727 1.95391 2.88561 1.90272 1.97229 2.77581 1.54062 1.65604 2.14455 2.93473
   fila  5 : 2.54694 2.41195 1.61633 2.07693 1.96579 1.59045 2.11974 1.53031 2.50009 2.51628
   fila  6 : 1.69684 2.35292 2.60588 1.59096 1.76224 1.94747 2.58968 2.22531 2.86901 1.88424
   fila  7 : 1.98763 2.64164 2.51798 1.68390 2.38031 2.31725 2.95045 2.63989 1.54852 2.44143
   fila  8 : 2.18868 2.12928 2.73171 2.79645 1.94483 1.82392 2.08672 2.92340 2.51636 1.51286
   fila  9 : 1.62931 2.77422 1.79862 2.87236 2.76309 2.21246 2.84575 2.57859 1.89674 1.93722
   fila 10 : 2.78373 2.58738 2.53615 2.53443 2.19931 2.22610 2.60144 1.96532 2.56394 1.58151
   fila 11 : 1.99102 2.53767 2.58869 2.17672 2.18826 2.62104 2.87778 2.43222 1.76310 2.94244
   fila 12 : 1.51789 2.16318 2.60154 2.03610 2.78994 1.96990 1.63642 2.31967 1.68271 1.74290
   fila 13 : 2.39183 2.46653 2.44812 2.02493 2.46635 2.42674 2.79605 2.65391 1.81399 1.73766
   fila 14 : 2.85055 2.21638 2.67428 2.13343 2.05655 1.50551 2.68328 1.96920 1.92496 2.29235
   fila 15 : 2.94472 2.36966 1.90371 2.14104 2.39045 1.73453 2.69204 2.16298 2.26052 2.04088
   fila 16 : 2.04493 2.66846 1.79852 2.78522 2.18888 2.48675 1.85090 2.57945 2.78750 1.57132
   fila 17 : 1.59233 2.35205 2.92501 2.61413 2.17555 1.93970 2.58486 2.26650 2.04293 2.01332
   fila 18 : 2.34504 2.14419 2.88398 1.52602 2.30283 2.19173 2.43927 1.86382 2.26858 2.51438
   fila 19 : 2.67585 2.98961 2.35613 2.43361 2.60068 2.57750 1.61783 1.82997 1.75105 2.93716
   fila 20 : 2.88374 2.03097 1.95773 2.52116 2.66361 2.73343 1.75285 1.59606 2.05304 2.50664
